rawCallsign,rawAircraftRegistration,rawAircraftHex,matchMethod,confidence,identifierAgreement,matchedFlightNumber,matchedFlightCallsign,matchedFlightRegistration,matchedFlightModeS,airlineIcao,airlineIata,route,direction,scheduledTimeLocal,score,source
UAL989,N2748U,A2B8DB,route-time-position-score,low,none,1301,JBU1301,N3221J,A37842,JBU,B6,KBOS-KMSY,departure,2026-05-14 18:15-04:00,26,aerodatabox-airport-fids
N541Z,N541Z,A6DDE2,route-time-position-score,low,none,5718,RPA5718,N222JQ,A1E946,DAL,DL,KBOS-KEWR,departure,2026-05-14 18:15-04:00,26,aerodatabox-airport-fids
FIN15,OH-LTO,461F08,route-time-position-score,low,none,2331,,,,KAP,9K,KBOS-KPVC,departure,2026-05-14 18:15-04:00,26,aerodatabox-airport-fids
ASA358,N720AL,A9A397,icao24,high,icao24,358,ASA358,N720AL,A9A397,ASA,AS,KPDX-KBOS,arrival,2026-05-14 17:08-04:00,100,aerodatabox-airport-fids
LXJ566,N566FX,A73DC7,route-time-position-score,low,none,1098,DAL1098,N352DN,A3EC93,DAL,DL,KBOS-KMSP,departure,2026-05-14 18:16-04:00,26,aerodatabox-airport-fids
EJA927,N927QS,ACD99A,route-time-position-score,low,none,217,KAP418,P-212,,KAP,9K,KBOS-KISP,departure,2026-05-14 18:19-04:00,26,aerodatabox-airport-fids
UAL2107,N69813,A94B05,icao24,high,icao24,2107,UAL2107,N69813,A94B05,UAL,UA,KEWR-KBOS,arrival,2026-05-14 18:20-04:00,100,aerodatabox-airport-fids
JBU2924,N905JB,AC8289,icao24,high,icao24,2924,JBU2924,N905JB,AC8289,JBU,B6,MDST-KBOS,arrival,2026-05-14 17:36-04:00,100,aerodatabox-airport-fids
UAL2647,N17418,A12AA5,icao24,high,icao24,2647,UAL2647,N17418,A12AA5,UAL,UA,KSFO-KBOS,arrival,2026-05-14 17:14-04:00,100,aerodatabox-airport-fids
KLM643,PH-BKO,485F82,route-time-position-score,low,none,320,LXJ320,N320FX,A36EE3,LXJ,,KBOS-KPDK,departure,2026-05-14 18:20-04:00,29,aerodatabox-airport-fids
UAL1957,N39461,A494E9,icao24,high,icao24,1957,UAL1957,N39461,A494E9,UAL,UA,KIAH-KBOS,arrival,2026-05-14 17:07-04:00,100,aerodatabox-airport-fids
JZA695,C-FUJA,C035BB,icao24,high,icao24,8695,ACA8695,C-FUJA,C035BB,ACA,AC,KBOS-CYYZ,departure,2026-05-14 17:00-04:00,100,aerodatabox-airport-fids
,,~A6C5DC,route-time-position-score,low,none,639,,,,UAL,UA,KBOS-KLAX,departure,2026-05-14 18:20-04:00,30,aerodatabox-airport-fids
EJA579,N579QS,A77147,icao24,high,icao24,579,EJA579,N579QS,A77147,EJA,1I,KBOS-KHPN,departure,2026-05-14 18:51-04:00,100,aerodatabox-airport-fids
DAL499,N599DA,A7BF22,icao24,high,icao24,445,DAL445,N599DA,A7BF22,DAL,DL,KBOS-KSLC,departure,2026-05-14 18:45-04:00,100,aerodatabox-airport-fids
,N921FD,ACC262,route-time-position-score,low,none,7668,,,,ACA,AC,KBOS-CYHZ,departure,2026-05-14 18:25-04:00,30,aerodatabox-airport-fids
WUP653,N653UP,A899AF,icao24,high,icao24,WUP653,WUP653,N653UP,A899AF,,,KBOS-KHPN,departure,2026-05-14 17:15-04:00,100,aerodatabox-airport-fids
CYO372,N372SC,A43CCC,icao24,high,icao24,372,CYO372,N372SC,A43CCC,CYO,,KLIT-KBOS,arrival,2026-05-14 16:00-04:00,100,aerodatabox-airport-fids
,N659FX,A8AEBC,icao24,high,icao24,659,LXJ659,N659FX,A8AEBC,LXJ,,KBOS-KBLM,departure,2026-05-14 17:05-04:00,100,aerodatabox-airport-fids
,N320FX,A36EE3,route-time-position-score,low,none,331,JBU331,N4076J,A4C9D5,JBU,B6,KBOS-LIMC,departure,2026-05-14 18:25-04:00,30,aerodatabox-airport-fids
CNS505,N882AF,AC2549,icao24,high,icao24,505,CNS505,N882AF,AC2549,CNS,,KTEB-KBOS,arrival,2026-05-14 15:42-04:00,100,aerodatabox-airport-fids
DAL1098,N352DN,A3EC93,icao24,high,icao24,726,DAL726,N352DN,A3EC93,DAL,DL,KATL-KBOS,arrival,2026-05-14 16:44-04:00,100,aerodatabox-airport-fids
KAP418,N290CA,A2F5AD,icao24,high,icao24,70,KAP70,N290CA,A2F5AD,KAP,9K,KRUT-KBOS,arrival,2026-05-14 16:51-04:00,100,aerodatabox-airport-fids
JBU717,N618JB,A80D40,icao24,high,icao24,717,JBU717,N618JB,A80D40,JBU,B6,KBOS-KJFK,departure,2026-05-14 17:02-04:00,100,aerodatabox-airport-fids
JBU592,N995JL,ADE609,icao24,high,icao24,592,JBU592,N995JL,ADE609,JBU,B6,KTPA-KBOS,arrival,2026-05-14 16:04-04:00,100,aerodatabox-airport-fids
DLH8P,D-AIMA,3C65A1,icao24,high,icao24,424,DLH8P,D-AIMA,3C65A1,DLH,LH,EDDM-KBOS,arrival,2026-05-14 17:40-04:00,100,aerodatabox-airport-fids
UAL800,N66837,A8D4D2,icao24,high,icao24,800,UAL800,N66837,A8D4D2,UAL,UA,KBOS-KDEN,departure,2026-05-14 16:52-04:00,100,aerodatabox-airport-fids
JBU970,N997JL,ADED77,icao24,high,icao24,970,JBU970,N997JL,ADED77,JBU,B6,KFLL-KBOS,arrival,2026-05-14 17:40-04:00,100,aerodatabox-airport-fids
JBU1303,N3169J,A360B7,icao24,high,icao24,1303,JBU1303,N3169J,A360B7,JBU,B6,KBOS-KPHX,departure,2026-05-14 18:41-04:00,100,aerodatabox-airport-fids
RPA5721,N215JQ,A1CCEC,icao24,high,icao24,5721,DAL5721,N215JQ,A1CCEC,DAL,DL,KBOS-KLGA,departure,2026-05-14 17:00-04:00,100,aerodatabox-airport-fids
JBU1620,N4048J,A4BEF6,icao24,high,icao24,1620,JBU1620,N4048J,A4BEF6,JBU,B6,KBOS-EGLL,departure,2026-05-14 18:31-04:00,100,aerodatabox-airport-fids
JBU859,N3215J,A37517,icao24,high,icao24,859,JBU859,N3215J,A37517,JBU,B6,KBOS-KPHL,departure,2026-05-14 16:50-04:00,100,aerodatabox-airport-fids
.N966JT,N966JT,AD734A,icao24,high,icao24,274,JBU274,N966JT,AD734A,JBU,B6,TNCA-KBOS,arrival,2026-05-14 17:44-04:00,100,aerodatabox-airport-fids
UAL1165,N874UA,AC06F5,icao24,high,icao24,1165,UAL1165,N874UA,AC06F5,UAL,UA,KBOS-KEWR,departure,2026-05-14 17:28-04:00,100,aerodatabox-airport-fids
SWA872,N8901Q,AC47DE,icao24,high,icao24,872,SWA872,N8901Q,AC47DE,SWA,WN,KBOS-KBNA,departure,2026-05-14 15:50-04:00,100,aerodatabox-airport-fids
TAP218,CS-TXI,495309,icao24,high,icao24,218,TAP218,CS-TXI,495309,TAP,TP,KBOS-LPPT,departure,2026-05-14 18:05-04:00,100,aerodatabox-airport-fids
PTR2946,C-GKQI,C060B9,icao24,high,icao24,PTR2946,PTR2946,C-GKQI,C060B9,,,KBOS-CYTZ,departure,2026-05-14 17:30-04:00,100,aerodatabox-airport-fids
DAL626,N3751B,A448DB,icao24,high,icao24,626,DAL626,N3751B,A448DB,DAL,DL,MMUN-KBOS,arrival,2026-05-14 18:48-04:00,100,aerodatabox-airport-fids
NJE737Q,CS-GLK,491D8B,icao24,high,icao24,737Q,NJE737Q,CS-GLK,491D8B,NJE,,KBOS-?,departure,2026-05-14 18:00-04:00,100,aerodatabox-airport-fids
JAL8,JA881J,86EB14,icao24,high,icao24,8,JAL8,JA881J,86EB14,JAL,JL,RJAA-KBOS,arrival,2026-05-14 18:15-04:00,100,aerodatabox-airport-fids
DLH423,D-ABVZ,3C4ADA,icao24,high,icao24,423,DLH423,D-ABVZ,3C4ADA,DLH,LH,KBOS-EDDF,departure,2026-05-14 17:45-04:00,100,aerodatabox-airport-fids
AAL475,N849NN,ABA281,icao24,high,icao24,1397,AAL1397,N849NN,ABA281,AAL,AA,KBOS-KMIA,departure,2026-05-14 18:20-04:00,100,aerodatabox-airport-fids
BAW9E,G-VIIY,400776,route-time-position-score,low,none,5840,RPA5840,N243JQ,A23BFB,DAL,DL,KBOS-KLGA,departure,2026-05-14 18:30-04:00,26,aerodatabox-airport-fids
RPA4375,N411YX,A4DA13,icao24,high,icao24,4375,RPA4375,N411YX,A4DA13,AAL,AA,KBOS-KLGA,departure,2026-05-14 17:18-04:00,100,aerodatabox-airport-fids
CWG119,N119FM,A04E2B,icao24,high,icao24,CWG119,CWG119,N119FM,A04E2B,,,KBFI-KBOS,arrival,2026-05-14 17:19-04:00,100,aerodatabox-airport-fids
SWA1496,N8933Q,AC5349,icao24,high,icao24,1496,SWA1496,N8933Q,AC5349,SWA,WN,KBOS-KBWI,departure,2026-05-14 16:45-04:00,100,aerodatabox-airport-fids
SAS924,SE-DMR,4A91B2,route-time-position-score,low,none,866,BTQ866,N649P,,BTQ,4B,KBOS-KMSS,departure,2026-05-14 18:30-04:00,26,aerodatabox-airport-fids
DAL2645,N322DU,A3761C,icao24,high,icao24,2645,DAL2645,N322DU,A3761C,DAL,DL,KSAT-KBOS,arrival,2026-05-14 18:25-04:00,100,aerodatabox-airport-fids
UAL1783,N37547,A44962,icao24,high,icao24,1783,UAL1783,N37547,A44962,UAL,UA,KLAX-KBOS,arrival,2026-05-14 16:55-04:00,100,aerodatabox-airport-fids
RPA5619,N216JQ,A1D0A3,icao24,high,icao24,5619,RPA5619,N216JQ,A1D0A3,DAL,DL,KBOS-KMKE,departure,2026-05-14 17:20-04:00,100,aerodatabox-airport-fids
DAL1780,N549DN,A6F9B3,icao24,high,icao24,1780,DAL1780,N549DN,A6F9B3,DAL,DL,TJSJ-KBOS,arrival,2026-05-14 18:18-04:00,100,aerodatabox-airport-fids
DAL514,N598DN,A7BB77,icao24,high,icao24,514,DAL514,N598DN,A7BB77,DAL,DL,KBOS-KPHX,departure,2026-05-14 17:55-04:00,100,aerodatabox-airport-fids
JBU932,N590JB,A79E31,icao24,high,icao24,697,JBU697,N590JB,A79E31,JBU,B6,KBOS-KATL,departure,2026-05-14 18:25-04:00,100,aerodatabox-airport-fids
ICE631,TF-ISO,4CC279,icao24,high,icao24,631,ICE631,TF-ISO,4CC279,ICE,FI,BIKF-KBOS,arrival,2026-05-14 18:50-04:00,100,aerodatabox-airport-fids
UAL2040,N24513,A24529,icao24,high,icao24,2040,UAL2040,N24513,A24529,UAL,UA,KBOS-KORD,departure,2026-05-14 16:35-04:00,100,aerodatabox-airport-fids
JBU561,N975JT,AD9712,icao24,high,icao24,561,JBU561,N975JT,AD9712,JBU,B6,KBOS-TJSJ,departure,2026-05-14 17:40-04:00,100,aerodatabox-airport-fids
RPA5767,N232JQ,A210C5,icao24,high,icao24,5767,DAL5767,N232JQ,A210C5,DAL,DL,KBOS-KDCA,departure,2026-05-14 17:55-04:00,100,aerodatabox-airport-fids
RPA3556,N771YX,AA6EFA,route-time-position-score,low,none,134,EIN1YL,EI-LRB,4CA9BB,EIN,EI,KBOS-EINN,departure,2026-05-14 18:30-04:00,26,aerodatabox-airport-fids
